date,city,zone,population,temperature,rainfall,water_demand_mld
2023-01-01,Chennai,ALL,5000000,31.49,2.72,820.0
2023-01-01,Chennai,North,1500000,31.49,2.72,246.0
2023-01-01,Chennai,Central,1750000,31.49,2.72,287.0
2023-01-01,Chennai,South,1750000,31.49,2.72,287.0
2023-01-02,Chennai,ALL,5000000,31.94,6.05,779.0
2023-01-02,Chennai,North,1500000,31.94,6.05,233.7
2023-01-02,Chennai,Central,1750000,31.94,6.05,272.65
2023-01-02,Chennai,South,1750000,31.94,6.05,272.65
2023-01-03,Chennai,ALL,5000000,29.3,2.53,820.0
2023-01-03,Chennai,North,1500000,29.3,2.53,246.0
2023-01-03,Chennai,Central,1750000,29.3,2.53,287.0
2023-01-03,Chennai,South,1750000,29.3,2.53,287.0
2023-01-04,Chennai,ALL,5000000,34.74,4.53,861.0
2023-01-04,Chennai,North,1500000,34.74,4.53,258.3
2023-01-04,Chennai,Central,1750000,34.74,4.53,301.35
2023-01-04,Chennai,South,1750000,34.74,4.53,301.35
2023-01-05,Chennai,ALL,5000000,28.59,4.09,820.0
2023-01-05,Chennai,North,1500000,28.59,4.09,246.0
2023-01-05,Chennai,Central,1750000,28.59,4.09,287.0
2023-01-05,Chennai,South,1750000,28.59,4.09,287.0
2023-01-06,Chennai,ALL,5000000,28.61,2.07,820.0
2023-01-06,Chennai,North,1500000,28.61,2.07,246.0
2023-01-06,Chennai,Central,1750000,28.61,2.07,287.0
2023-01-06,Chennai,South,1750000,28.61,2.07,287.0
2023-01-07,Chennai,ALL,5000000,30.73,0.0,820.0
2023-01-07,Chennai,North,1500000,30.73,0.0,246.0
2023-01-07,Chennai,Central,1750000,30.73,0.0,287.0
2023-01-07,Chennai,South,1750000,30.73,0.0,287.0
2023-01-08,Chennai,ALL,5000000,24.83,1.88,820.0
2023-01-08,Chennai,North,1500000,24.83,1.88,246.0
2023-01-08,Chennai,Central,1750000,24.83,1.88,287.0
2023-01-08,Chennai,South,1750000,24.83,1.88,287.0
2023-01-09,Chennai,ALL,5000000,26.96,3.63,820.0
2023-01-09,Chennai,North,1500000,26.96,3.63,246.0
2023-01-09,Chennai,Central,1750000,26.96,3.63,287.0
2023-01-09,Chennai,South,1750000,26.96,3.63,287.0
2023-01-10,Chennai,ALL,5000000,27.28,0.18,820.0
2023-01-10,Chennai,North,1500000,27.28,0.18,246.0
2023-01-10,Chennai,Central,1750000,27.28,0.18,287.0
2023-01-10,Chennai,South,1750000,27.28,0.18,287.0
2023-01-11,Chennai,ALL,5000000,34.4,2.55,861.0
2023-01-11,Chennai,North,1500000,34.4,2.55,258.3
2023-01-11,Chennai,Central,1750000,34.4,2.55,301.35
2023-01-11,Chennai,South,1750000,34.4,2.55,301.35
2023-01-12,Chennai,ALL,5000000,30.2,0.15,820.0
2023-01-12,Chennai,North,1500000,30.2,0.15,246.0
2023-01-12,Chennai,Central,1750000,30.2,0.15,287.0
2023-01-12,Chennai,South,1750000,30.2,0.15,287.0
2023-01-13,Chennai,ALL,5000000,28.37,3.22,820.0
2023-01-13,Chennai,North,1500000,28.37,3.22,246.0
2023-01-13,Chennai,Central,1750000,28.37,3.22,287.0
2023-01-13,Chennai,South,1750000,28.37,3.22,287.0
2023-01-14,Chennai,ALL,5000000,26.55,3.75,820.0
2023-01-14,Chennai,North,1500000,26.55,3.75,246.0
2023-01-14,Chennai,Central,1750000,26.55,3.75,287.0
2023-01-14,Chennai,South,1750000,26.55,3.75,287.0
2023-01-15,Chennai,ALL,5000000,28.2,2.42,820.0
2023-01-15,Chennai,North,1500000,28.2,2.42,246.0
2023-01-15,Chennai,Central,1750000,28.2,2.42,287.0
2023-01-15,Chennai,South,1750000,28.2,2.42,287.0
2023-01-16,Chennai,ALL,5000000,28.19,6.7,779.0
2023-01-16,Chennai,North,1500000,28.19,6.7,233.7
2023-01-16,Chennai,Central,1750000,28.19,6.7,272.65
2023-01-16,Chennai,South,1750000,28.19,6.7,272.65
2023-01-17,Chennai,ALL,5000000,29.96,0.88,820.0
2023-01-17,Chennai,North,1500000,29.96,0.88,246.0
2023-01-17,Chennai,Central,1750000,29.96,0.88,287.0
2023-01-17,Chennai,South,1750000,29.96,0.88,287.0
2023-01-18,Chennai,ALL,5000000,32.47,0.56,861.0
2023-01-18,Chennai,North,1500000,32.47,0.56,258.3
2023-01-18,Chennai,Central,1750000,32.47,0.56,301.35
2023-01-18,Chennai,South,1750000,32.47,0.56,301.35
2023-01-19,Chennai,ALL,5000000,30.63,0.0,820.0
2023-01-19,Chennai,North,1500000,30.63,0.0,246.0
2023-01-19,Chennai,Central,1750000,30.63,0.0,287.0
2023-01-19,Chennai,South,1750000,30.63,0.0,287.0
2023-01-20,Chennai,ALL,5000000,26.02,3.39,820.0
2023-01-20,Chennai,North,1500000,26.02,3.39,246.0
2023-01-20,Chennai,Central,1750000,26.02,3.39,287.0
2023-01-20,Chennai,South,1750000,26.02,3.39,287.0
2023-01-21,Chennai,ALL,5000000,32.22,3.34,861.0
2023-01-21,Chennai,North,1500000,32.22,3.34,258.3
2023-01-21,Chennai,Central,1750000,32.22,3.34,301.35
2023-01-21,Chennai,South,1750000,32.22,3.34,301.35
2023-01-22,Chennai,ALL,5000000,29.65,2.4,820.0
2023-01-22,Chennai,North,1500000,29.65,2.4,246.0
2023-01-22,Chennai,Central,1750000,29.65,2.4,287.0
2023-01-22,Chennai,South,1750000,29.65,2.4,287.0
2023-01-23,Chennai,ALL,5000000,25.56,1.56,820.0
2023-01-23,Chennai,North,1500000,25.56,1.56,246.0
2023-01-23,Chennai,Central,1750000,25.56,1.56,287.0
2023-01-23,Chennai,South,1750000,25.56,1.56,287.0
2023-01-24,Chennai,ALL,5000000,28.62,5.11,820.0
2023-01-24,Chennai,North,1500000,28.62,5.11,246.0
2023-01-24,Chennai,Central,1750000,28.62,5.11,287.0
2023-01-24,Chennai,South,1750000,28.62,5.11,287.0
2023-01-25,Chennai,ALL,5000000,31.03,0.0,820.0
2023-01-25,Chennai,North,1500000,31.03,0.0,246.0
2023-01-25,Chennai,Central,1750000,31.03,0.0,287.0
2023-01-25,Chennai,South,1750000,31.03,0.0,287.0
2023-01-26,Chennai,ALL,5000000,30.97,2.23,820.0
2023-01-26,Chennai,North,1500000,30.97,2.23,246.0
2023-01-26,Chennai,Central,1750000,30.97,2.23,287.0
2023-01-26,Chennai,South,1750000,30.97,2.23,287.0
2023-01-27,Chennai,ALL,5000000,27.97,4.22,820.0
2023-01-27,Chennai,North,1500000,27.97,4.22,246.0
2023-01-27,Chennai,Central,1750000,27.97,4.22,287.0
2023-01-27,Chennai,South,1750000,27.97,4.22,287.0
2023-01-28,Chennai,ALL,5000000,33.09,4.86,861.0
2023-01-28,Chennai,North,1500000,33.09,4.86,258.3
2023-01-28,Chennai,Central,1750000,33.09,4.86,301.35
2023-01-28,Chennai,South,1750000,33.09,4.86,301.35
2023-01-29,Chennai,ALL,5000000,27.48,2.38,820.0
2023-01-29,Chennai,North,1500000,27.48,2.38,246.0
2023-01-29,Chennai,Central,1750000,27.48,2.38,287.0
2023-01-29,Chennai,South,1750000,27.48,2.38,287.0
2023-01-30,Chennai,ALL,5000000,30.99,4.95,820.0
2023-01-30,Chennai,North,1500000,30.99,4.95,246.0
